,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079,0,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001
1,3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997,1,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354
2,5,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753,3,2.99,100 Gramm,"15er, Packung 450 Gramm",edeka,0.6639999999999999
3,8,Milka Alpenmilch Schokolade,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09,43,0.79,100 Gramm,Tafel 100  Gramm,edeka,0.79
4,15,"Landliebe Landkäse Original, 50 % Fett",1.59,100 Gramm,Packung 175 Gramm,lidl,0.91,5,2.29,100 Gramm,Packung 175 Gramm,edeka,1.31
5,16,Rama Margarine Classic,1.79,100 Gramm,Becher 500 Gramm + 50g mehr Inhalt,lidl,0.325,70,1.59,100 Gramm,Becher 500  Gramm,edeka,0.318
6,17,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96,65,1.11,100 Gramm,Packung 250  Gramm,edeka,0.44
7,36,Lätta Halbfettmargarine Original,0.99,100 Gramm,"XXL Becher 550 Gramm, 10% mehr Inhalt",lidl,0.18,13,0.99,100 Gramm,Becher 500  Gramm,edeka,0.198
8,38,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,12,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466
9,41,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,lidl,0.61,34,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54
10,1491,Dr. Oetker Die Ofenfrische Pizza Speciale,2.99,100 Gramm,Packung 405 Gramm,lidl,0.74,34,2.19,100 Gramm,Packung 405 Gramm,edeka,0.54
11,42,Kinder Schokolade,1.11,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",lidl,0.89,30,0.77,100 Gramm,"Tafel 100 Gramm, 8 Riegel",edeka,0.77
12,44,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",lidl,0.39,912,1.78,100 Gramm,Dose 160 Gramm,edeka,1.11
13,48,Thomy Sonnenblumenöl,1.99,100 ml,Flasche Glas 750 ML,lidl,0.265,542,1.99,100 ml,Flasche Glas 750 ML,edeka,0.265
14,53,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,lidl,0.79,139,1.29,100 Gramm,Beutel 175 Gramm,edeka,0.74
15,57,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",1.66,100 Gramm,Packung 240 Gramm,lidl,0.69,37,2.99,100 Gramm,Packung 240 Gramm,edeka,1.25
16,59,Danone Actimel Classic,1.99,100 Gramm,6er Packung 600 Gramm,lidl,0.332,58,1.69,100 Gramm,"Packung 400 Gramm, 4 x 100 g",edeka,0.423
17,70,Philadelphia Doppelrahmstufe Original,1.49,100 Gramm,Packung 175 Gramm,lidl,0.85,994,0.88,100 Gramm,Packung 175 Gramm,edeka,0.5
18,72,Pepsi Cola Classic koffeinhaltig,0.99,100 ml,Pet-Flasche 1.5 L,lidl,0.066,651,0.69,100 ml,Pet-Flasche 6 x 1.0 L,edeka,0.06899999999999999
19,73,"Milkana Schmelzkäse Kräuter, 50% Fett",1.99,100 Gramm,Packung 200 Gramm,lidl,1.0,1917,1.89,100 Gramm,Packung 200 Gramm,edeka,0.95
20,75,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532,657,2.69,100 ml,Flasche Glas 0.75 L,edeka,0.359
21,76,Red Bull Energy Drink,1.09,100 ml,Dose 250 ML,lidl,0.4360000000000001,998,0.99,100 ml,Dose 250 ML,edeka,0.396
22,90,Light Live hugo Alcohol Free,2.49,100 ml,Flasche Glas 0.75 L,lidl,0.332,39,2.49,100 ml,Flasche Glas 0.75 L,edeka,0.332
23,93,Punica Classics Nektar Multivitamin 17+4,1.59,100 ml,Pet-Flasche 1500 ML,lidl,0.106,86,0.95,100 ml,Pet-Flasche 1500 ML,edeka,0.063
24,94,Hela Curry Gewürz Ketchup delikat,2.29,100 ml,Flasche Kunststoff 800 ML,lidl,0.28600000000000003,85,2.49,100 ml,Flasche Kunststoff 800 ML,edeka,0.311
25,95,"Müller Müllermilch Schoko, 1,5 % Fett",0.89,100 Gramm,Flasche Kunststoff 400 Gramm,lidl,0.223,73,0.89,100 Gramm,Flasche Kunststoff 400 Gramm,edeka,0.223
26,96,Miracoli Spaghetti Klassiker mit Tomatensauce,1.99,100 Gramm,Packung 634 Gramm,lidl,0.314,87,1.29,100 Gramm,"Packung 397 Gramm, 2 - 3 Portionen",edeka,0.32
27,97,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071,113,0.95,100 ml,Pet-Flasche 1.5 L,edeka,0.063
28,99,"Pepsi Max 6 x 1,5 L",0.95,100 ml,Pet-Flasche 1.5 L,lidl,0.063,74,0.95,100 ml,Pet-Flasche 1.5 L,edeka,0.063
29,105,Rotkäppchen Sekt Alkoholfrei,3.99,100 ml,Flasche Glas 750 ML,lidl,0.532,124,3.99,100 ml,Flasche Glas 750 ML,edeka,0.532
30,111,Zentis Nusspli Nuss Nougat Creme,0.99,100 Gramm,Becher 400 Gramm,lidl,0.248,31,1.59,100 Gramm,Becher 400 Gramm,edeka,0.39799999999999996
31,124,Mumm Extra Dry Sekt trocken,5.99,100 ml,Flasche Glas 0.75 L,lidl,0.799,1181,5.79,100 ml,Flasche Glas 0.75 L,edeka,0.772
32,126,"Salakis Schafskäse Natur, 50 % Fett",1.59,100 Gramm,Packung 200 Gramm,lidl,0.8,88,1.69,100 Gramm,Packung 200 Gramm,edeka,0.85
33,151,Golden Toast Butter Toast,1.19,100 Gramm,Packung 500  Gramm,lidl,0.23800000000000002,224,0.75,100 Gramm,Packung 250  Gramm,edeka,0.3
34,152,Bertolli Extra Vergine Originale das Fruchtige,4.69,100 ml,Flasche Glas 500 ML,lidl,0.938,220,3.29,100 ml,Flasche Glas 500 ML,edeka,0.6579999999999999
35,154,Barilla Spaghetti No.5,0.77,100 Gramm,Packung 500 Gramm,lidl,0.154,128,0.69,100 Gramm,Packung 500 Gramm,edeka,0.13799999999999998
36,155,Dr. Quendt Echter Dresdner Christstollen,7.49,100 Gramm,Packung 1000 Gramm,lidl,0.7490000000000001,973,7.99,100 Gramm,Packung 1000 Gramm,edeka,0.799
37,160,Dr. Oetker Bistro Baguette Champignons,2.49,100 Gramm,"Multipack 500 Gramm, 4 x 125 g",lidl,0.5,121,1.39,100 Gramm,Packung 250 Gramm,edeka,0.56
38,161,Ehrmann Grand Dessert Plus Double-Choc,0.79,100 Gramm,Becher 190 Gramm,lidl,0.42,2024,0.59,100 Gramm,Becher 200 Gramm,edeka,0.3
39,163,Philadelphia Joghurt,1.49,100 Gramm,Packung 175 Gramm,lidl,0.85,2085,1.39,100 Gramm,"Minis,Packung 140 Gramm, 4 x 35 g",edeka,0.99
40,180,Bahlsen Comtess Choco Chips,1.99,100 Gramm,Packung 400 Gramm,lidl,0.4980000000000001,1844,1.39,100 Gramm,Packung 400 Gramm,edeka,0.348
41,181,Jacobs Krönung Original,5.99,100 Gramm,Packung 500 Gramm,lidl,1.198,2622,3.19,Preis pro 100 Stück,Packung 40 Stück,edeka,7.98
42,184,Chantre Weinbrand 36% Vol.,6.99,100 ml,Flasche Glas 0.7 L,lidl,0.9990000000000001,2857,2.89,Preis pro 100 Stück,Packung 64 Stück,edeka,4.52
43,190,Melitta Bella Crema La Crema,12.99,100 Gramm,Packung 1000 Gramm,lidl,1.2990000000000002,4223,10.99,100 Gramm,Packung 1000 Gramm,edeka,1.099
44,193,Melitta Cafe Auslese,5.69,100 Gramm,Vakuum 500 Gramm,lidl,1.138,2511,3.33,100 Gramm,Vakuum 500 Gramm,edeka,0.6659999999999999
45,199,"Aperol italienischer Aperitiv Bitter Spirituose, 15 % Vol.",9.99,100 ml,Flasche Glas 0.7 L,lidl,1.4269999999999998,4101,8.99,100 ml,Flasche Glas 0.7 L,edeka,1.284
46,200,"Philadelphia Schnittlauch, 12% Fett",1.49,100 Gramm,Packung 175 Gramm,lidl,0.85,1372,1.39,100 Gramm,Packung 175 Gramm,edeka,0.79
47,235,"Old Amsterdam Gouda alt Holländischer Schnittkäse Alt, in Scheiben,  48 % Fett",1.79,100 Gramm,Packung 125 Gramm,lidl,1.43,115,2.39,100 Gramm,Packung 125 Gramm,edeka,1.91
48,236,Granatapfel frisch,0.79,Preis pro Stück,Granatapfel aus der Türkei 1 Stück,lidl,0.79,794,0.49,Preis pro Stück,Granatapfel aus Griechenland 1 Stück,edeka,0.49
49,257,Rama mit Butter,1.29,100 Gramm,Becher 225 Gramm,lidl,0.57,3099,1.49,100 Gramm,Becher 225 Gramm,edeka,0.66
50,261,Leerdammer Original Scheibenkäse Classic 45 % Fett,1.99,100 Gramm,"Packung 140g, 7 Scheiben",lidl,1.42,302,5.49,100 Gramm,"Packung 315 Gramm, 30er",edeka,1.74
51,262,Lorenz Crunchips Paprika,1.19,100 Gramm,Beutel 200 Gramm,lidl,0.6,462,1.49,100 Gramm,Beutel 200 Gramm,edeka,0.75
52,263,Ritter Sport Schokolade Voll-Nuss,1.29,100 Gramm,Tafel 100 Gramm,lidl,1.29,234,0.59,100 Gramm,Tafel 100 Gramm,edeka,0.59
53,264,Becks Pils,4.29,100 ml,"6 x 0,5 L, Pack 3 L",lidl,0.14300000000000002,142,15.95,100 ml,"20 x 0,5 L, Kasten 10 L",edeka,0.16
54,265,Deli Reform Margarine Das Original,0.85,100 Gramm,Becher 555 Gramm,lidl,0.153,392,0.88,100 Gramm,Becher 500  Gramm,edeka,0.17600000000000002
55,266,Dr. Oetker Bistro Baguette Salami,2.45,100 Gramm,"Multipackung 500 Gramm, 4 x 125 g",lidl,0.49,370,1.59,100 Gramm,Packung 250 Gramm,edeka,0.64
56,267,"Danone Activia Classic Erdbeer, 4 x 115 g",1.99,100 Gramm,Packung 460 Gramm,lidl,0.433,488,1.99,100 Gramm,Packung 460 Gramm,edeka,0.433
57,268,Kinder Bueno,2.79,100 Gramm,"Packung 258 Gramm, 12 x 21,5 g 	 ",lidl,1.08,360,1.69,100 Gramm,"Packung 129 Gramm, 6 Stück",edeka,1.31
58,269,Coca Cola Light,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071,305,0.69,100 Gramm,"Packung 93 Gramm, 10 Stück",edeka,0.74
59,270,Maggi Ravioli in Tomatensauce,1.39,100 Gramm,Dose 800 Gramm,lidl,0.174,297,1.59,100 Gramm,Flasche Glas 250 Gramm,edeka,0.64
60,271,Hanuta Haselnuss Schnitte,1.89,100 Gramm,Packung 249.6 Gramm,lidl,0.76,366,1.99,100 Gramm,Packung 249.6 Gramm,edeka,0.8
61,272,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",8.88,100 ml,Flasche Glas 0.7 L,lidl,1.2690000000000001,137,11.99,100 ml,Flasche Glas 0.7 L,edeka,1.713
62,274,Raffaello Pralinen Kokos-Mandel,1.99,100 Gramm,Packung 180 Gramm,lidl,1.11,372,2.69,100 Gramm,Packung 230 Gramm,edeka,1.17
63,275,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75,63,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",edeka,1.75
64,276,Danone Actimel Erdbeere,1.99,100 Gramm,Packung 400 Gramm,lidl,0.4980000000000001,3170,1.69,100 Gramm,Flasche Kunststoff 100 Gramm,edeka,1.69
65,278,Ferrero Kinder Riegel,2.39,100 Gramm,"10 x 21 g, Packung 210 Gramm",lidl,1.14,389,2.5,100 Gramm,"Packung 420 Gramm, 20 Riegel Sparpack",edeka,0.6
66,279,Mini Babybel rot 45% Fett,1.89,100 Gramm,"Netz 140 Gramm, 7 Stück",lidl,1.35,235,1.99,100 Gramm,"Netz 120 Gramm, 6 x 20 g",edeka,1.66
67,281,Schwip Schwap ohne Zucker,0.89,100 ml,Pet-Flasche 1.5 L,lidl,0.059000000000000004,373,0.65,100 ml,Pet-Flasche 1.5 L,edeka,0.043
68,287,Maggi Würze Tischflasche,1.59,100 Gramm,Flasche Glas 250 Gramm,lidl,0.64,298,0.89,100 Gramm,Becher 200 Gramm,edeka,0.45
69,292,Ferrero Milchschnitte,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9,16,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92
70,293,Lorenz Erdnuß Locken Leicht,1.19,100 Gramm,Packung 600 Gramm,lidl,0.198,359,1.79,100 Gramm,Beutel 200 Gramm,edeka,0.9
71,296,Paprika rot,2.77,100 Gramm,Packung 396 Gramm,lidl,0.7,3946,4.99,100 Gramm,Beutel 1 KG,edeka,0.499
72,324,Milka Weisse Schokolade,0.59,100 Gramm,Packung 130 Gramm,lidl,0.45,226,0.79,100 Gramm,Tafel 100  Gramm,edeka,0.79
73,364,Vernel Aroma Therapie Sensual,3.29,100 ml,Flasche Kunststoff 2 L,lidl,0.16499999999999998,526,1.29,100 ml,Flasche Kunststoff 750 ML,edeka,0.172
74,368,Kaki frisch,1.49,Preis pro Stück, 1 Stück,lidl,1.49,2722,0.99,Preis pro Stück, 1 Stück,edeka,0.99
75,447,"Patros Feta Natur,  40% Fett",1.99,100 Gramm,Packung 225 Gramm,lidl,0.884,377,1.49,100 Gramm,Packung 200 Gramm,edeka,0.745
76,464,Weihenstephan Frische Tafelbutter 82% Fett,0.99,100 Gramm,Packung 250  Gramm,lidl,0.4,248,0.99,100 Gramm,Packung 250  Gramm,edeka,0.4
77,465,Landliebe Butter 82% Fett,0.99,100 Gramm,Packung 250  Gramm,lidl,0.4,537,1.69,100 Gramm,Packung 250  Gramm,edeka,0.68
78,466,Golden Toast Vollkorn Toast,1.19,100 Gramm,Packung 500 Gramm,lidl,0.23800000000000002,915,0.75,100 Gramm,Packung 250 Gramm,edeka,0.3
79,467,Dr. Oetker Ristorante Pizza Salame,2.69,100 Gramm,Karton 320 Gramm,lidl,0.84,64,1.66,100 Gramm,Karton 320 Gramm,edeka,0.52
80,468,"Danone Actimel 4-er Orange, 4 x 100 g",1.39,100 Gramm,Packung 400 Gramm,lidl,0.348,927,1.69,100 Gramm,Packung 400 Gramm,edeka,0.423
81,469,Uncle Bens Express Spitzen-Langkorn-Reis 2 Minuten,1.59,100 Gramm,Packung 250 Gramm,lidl,0.64,221,1.99,100 Gramm,Packung 250 Gramm,edeka,0.8
82,471,Danone Activia Classic Natur,1.99,100 Gramm,"Packung 500 Gramm, 4 x 125g",lidl,0.4,218,1.99,100 Gramm,"Packung 460 Gramm, 4 x 115 Gramm",edeka,0.43
83,475,Wagner herzhafter Flammkuchen Unser Original,2.59,100 Gramm,Packung 300 Gramm,lidl,0.86,538,2.59,100 Gramm,Packung 300 Gramm,edeka,0.86
84,477,"Müller Froop Frucht auf Joghurt Pfirsich-Maracuja, 3.5 % Fett",0.49,100 Gramm,Becher 150 Gramm,lidl,0.33,791,0.29,100 Gramm,Becher 150 Gramm,edeka,0.19
85,478,Teachers Scotch Whisky Highland Cream 40 % Vol.,8.99,100 ml,Flasche Glas 0.7 L,lidl,1.284,4602,11.99,100 ml,Flasche Glas 0.7 L,edeka,1.713
86,480,Milka Noisette Schokolade,0.79,100 Gramm,Tafel 100  Gramm,lidl,0.79,217,0.95,100 Gramm,Tafel 100  Gramm,edeka,0.95
87,484,Landliebe Sahnepudding Schokolade,1.99,100 Gramm,"Packung 500 Gramm, 4 Stück",lidl,0.4,974,0.75,100 Gramm,Becher 150 Gramm,edeka,0.5
88,485,Iglo Schlemmer Filet Sylter Art,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466,908,1.79,100 Gramm,Glas 400 Gramm,edeka,0.4480000000000001
89,490,Larsen Kaviar Creme,1.49,100 Gramm,Tube 100 Gramm,lidl,1.49,1722,1.99,100 Gramm,Tube 100 Gramm,edeka,1.99
90,494,Capri Sonne Orange 10-er Pack 10 x 0.2 L,1.99,100 ml,Pack 2 L,lidl,0.1,231,1.99,100 ml,Pack 2 L,edeka,0.1
91,495,"Danone Fruchtzwerge Erdbeere, Kirsche, Himbeere, 6 x 50 g",1.35,100 Gramm,Packung 300 Gramm,lidl,0.45,380,1.35,100 Gramm,Packung 300 Gramm,edeka,0.45
92,497,Geramont Frisch Genuss Frischkäsespezialität mit Creme Fraiche,2.19,100 Gramm,Packung 150 Gramm,lidl,1.46,375,2.29,100 Gramm,Packung 150 Gramm,edeka,1.53
93,555,"Weihenstephan Haltbare Alpenmilch 3,5% Fett",0.79,100 ml,Getränkekarton 1 L,lidl,0.079,378,0.79,100 ml,Getränkekarton 1 L,edeka,0.079
94,556,Herta Knoblauchwurst,3.49,100 Gramm,Packung 500 Gramm,lidl,0.7,520,4.79,100 Gramm,Packung 500 Gramm,edeka,0.96
95,558,Dr. Oetker Steinofen Tradizionale Salame Pizza,2.22,100 Gramm,Karton 310 Gramm,lidl,0.72,371,2.29,100 Gramm,Karton 310 Gramm,edeka,0.74
96,681,Langnese Cremissimo Stracciatella,3.29,100 ml,,lidl,0.0,478,0.99,100 Gramm,Packung 100 Gramm,edeka,0.99
97,682,Haribo Goldbären,0.89,100 Gramm,Beutel 300 Gramm,lidl,0.3,367,0.55,100 Gramm,Beutel 200 Gramm,edeka,0.28
98,683,Milram Paprikaquark,0.69,100 Gramm,Becher 200 Gramm,lidl,0.35,299,1.45,100 Gramm,Packung 200 Gramm,edeka,0.73
99,685,Pfanner Der Grüne Tee Zitrone-Kaktusfeige,0.99,100 ml,Getränkekarton 2 L,lidl,0.05,148,1.44,100 ml,Getränkekarton 2 L,edeka,0.07200000000000001
100,690,Brunch Brotaufstrich Romeo all Arrabbiata,0.88,100 Gramm,Becher 200 Gramm,lidl,0.44,494,1.19,100 Gramm,Becher 200 Gramm,edeka,0.6
101,691,Schwartau Extra Wellness Multivitamin,1.69,100 Gramm,Glas 260 Gramm,lidl,0.65,517,1.89,100 Gramm,Glas 260 Gramm,edeka,0.73
102,692,Geramont mit Joghurt 20% Fett,1.59,100 Gramm,Packung 200 Gramm,lidl,0.8,376,2.29,100 Gramm,Packung 200 Gramm,edeka,1.15
103,695,Houdek Kabanos Klassik,1.25,100 Gramm,Packung 100 Gramm,lidl,1.25,532,3.29,100 Gramm,Packung 250 Gramm,edeka,1.32
104,699,Amicelli Waffelröllchen,1.99,100 Gramm,"Packung 225 Gramm, 18 12,5g",lidl,0.88,296,1.29,100 Gramm,Dose 800 Gramm,edeka,0.161
105,700,Milka Adventskalender,4.44,100 Gramm,Packung 200 Gramm,lidl,2.22,5712,14.99,100 Gramm,Packung 329 Gramm,edeka,4.56
106,702,Cornelius Pfälzer Leberwurst im Kunstdarm,1.99,100 Gramm,Folie 400 Gramm,lidl,0.5,533,1.49,100 Gramm,Folie 200 Gramm,edeka,0.75
107,708,Rougette Landkäse Fein-würzig,1.49,100 Gramm,Packung 180 Gramm,lidl,0.83,480,2.49,100 Gramm,Packung 400 Gramm,edeka,0.62
108,719,Dr. Oetker Die Ofenfrische Pizza Pepperoni-Salami,2.39,100 Gramm,Packung 320  Gramm,lidl,0.75,936,2.49,100 Gramm,Packung 400 Gramm,edeka,0.62
109,720,Original Wagner Steinofen Pizza Salami,0.88,100 Gramm,Packung 125 Gramm,lidl,0.7,677,2.59,100 Gramm,Packung 320  Gramm,edeka,0.81
110,721,Leibniz Choco Vollmilch,1.29,100 Gramm,Packung 500 Gramm,lidl,0.258,541,0.88,100 Gramm,Packung 125 Gramm,edeka,0.7
111,790,Arla Kaergarden gesalzen,1.89,100 Gramm,Becher 250  Gramm,lidl,0.76,1926,1.79,100 Gramm,Becher 250  Gramm,edeka,0.72
112,791,"Meggle die Kräuter-Butter Portionen Original portioniert, 5 x 20 g",1.39,100 Gramm,Packung 100 Gramm,lidl,1.39,1642,1.39,100 Gramm,Packung 100 Gramm,edeka,1.39
113,792,"Bonbel Butterkäse in Scheiben, 50% Fett",0.99,100 Gramm,Packung 100  Gramm,lidl,0.99,1903,1.69,100 Gramm,Packung 100  Gramm,edeka,1.69
114,793,"Geramont Weichkäse Cremig-Leicht, 16% Fett",2.29,100 Gramm,Packung 200 Gramm,lidl,1.15,1647,2.59,100 Gramm,Packung 200 Gramm,edeka,1.3
115,796,After Eight Classic,1.99,100 Gramm,Packung 200   Gramm,lidl,1.0,992,2.99,100 Gramm,Packung 400  Gramm,edeka,0.75
116,797,Ritter Sport Schokolade Nugat,0.99,100 Gramm,Tafel 100  Gramm,lidl,0.99,304,0.95,100 ml,Pet-Flasche 1.5 L,edeka,0.063
117,798,Sonnen Bassermann Hühner Nudeltopf mit buntem Gemüse,1.95,100 Gramm,Dose 800 Gramm,lidl,0.244,1837,1.29,100 Gramm,Dose 800 Gramm,edeka,0.161
118,799,Becel pro-activ Halbfettmargarine 40% Fett,2.99,100 Gramm,Becher 250 Gramm,lidl,1.1960000000000002,1147,2.99,100 Gramm,Becher 250 Gramm,edeka,1.1960000000000002
